"tipo","codigo","descricao","credito","parcela_01_12","demais_parcelas","parcela_pf","parcela_pj","redutor","prazo","taxa_adm","adesao","fundo_reserva","seguro","reajuste","sorteio","lance_fixo","lance_embutido","grupo","status","pontos_livelo","imagem"
"Imovel","M02 IMOVEL PLANO FLEX M02","IMOVEL FLEX","290000","1799,16","1315,73",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","62971","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M03 IMOVEL PLANO FLEX M03","IMOVEL FLEX","300000","1861,2","1361,1",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","65142","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M04 IMOVEL PLANO FLEX M04","IMOVEL FLEX","310000","1923,24","1406,47",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","67313","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M05 IMOVEL PLANO FLEX M05","IMOVEL FLEX","320000","1985,28","1451,84",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","69485","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M06 IMOVEL PLANO FLEX M06","IMOVEL FLEX","330000","2047,32","1497,21",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","71656","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M07 IMOVEL PLANO FLEX M07","IMOVEL FLEX","340000","2109,36","1542,58",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","73828","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M08 IMOVEL PLANO FLEX M08","IMOVEL FLEX","350000","2171,4","1587,95",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","75999","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M09 IMOVEL PLANO FLEX M09","IMOVEL FLEX","360000","2233,44","1633,32",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","78170","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M10 IMOVEL PLANO FLEX M10","IMOVEL FLEX","370000","2295,48","1678,69",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","80342","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M11 IMOVEL PLANO FLEX M11","IMOVEL FLEX","380000","2357,52","1724,06",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","82513","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M13 IMOVEL PLANO FLEX M13","IMOVEL FLEX","400000","2481,6","1814,8",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","86856","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M15 IMOVEL PLANO FLEX M15","IMOVEL FLEX","420000","2605,68","1905,54",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","91199","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M16 IMOVEL PLANO FLEX M16","IMOVEL FLEX","430000","2667,72","1950,91",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","93370","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M17 IMOVEL PLANO FLEX M17","IMOVEL FLEX","440000","2729,76","1996,28",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","95542","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M18 IMOVEL PLANO FLEX M18","IMOVEL FLEX","450000","2791,8","2041,65",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","97713","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M19 IMOVEL PLANO FLEX M19","IMOVEL FLEX","460000","2853,84","2087,02",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","99884","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M20 IMOVEL PLANO FLEX M20","IMOVEL FLEX","470000","2915,88","2132,39",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","102056","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M21 IMOVEL PLANO FLEX M21","IMOVEL FLEX","480000","2977,92","2177,76",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","104227","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M23 IMOVEL PLANO FLEX M23","IMOVEL FLEX","500000","3102","2268,5",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","108570","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M24 IMOVEL PLANO FLEX M24","IMOVEL FLEX","510000","3164,04","2313,87",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","110741","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","M25 IMOVEL PLANO FLEX M25","IMOVEL FLEX","520000","3226,08","2359,24",,,"25","200","21","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1034","Em formação","112913","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
