Codigo,Descricao,Credito,Parcela PF,Parcela PJ,Redutor,Prazo,Taxa Adm,Fundo de Reserva,Seguro de Vida,Sorteio,Lance Fixo,Lance Embutiro,Lance Livre,Plano,Status,Pontos Livelo,Credito Texto,Parcela PF Texto,Prazo Texto,CTA,Imagem,Reajuste anual
AFCM01,AUTOMOVEL FLEX CREDITO MEDIO AFCM01,"$34000,00","$453,32","$453,32",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,8160,"Crédito: R$34.000,00"," R$ 453,32 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM02,AUTOMOVEL FLEX CREDITO MEDIO AFCM02,"$35000,00","$466,66","$466,66",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,8400,"Crédito: R$35.000,00"," R$ 466,66 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM03,AUTOMOVEL FLEX CREDITO MEDIO AFCM03,"$37500,00","$499,99","$499,99",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,9000,"Crédito: R$37.500,00"," R$ 499,99 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM04,AUTOMOVEL FLEX CREDITO MEDIO AFCM04,"$40000,00","$533,32","$533,32",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,9600,"Crédito: R$40.000,00"," R$ 533,32 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM05,AUTOMOVEL FLEX CREDITO MEDIO AFCM05,"$42500,00","$566,66","$566,66",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,10200,"Crédito: R$42.500,00"," R$ 566,66 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM06,AUTOMOVEL FLEX CREDITO MEDIO AFCM06,"$45000,00","$599,99","$599,99",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,10800,"Crédito: R$45.000,00"," R$ 599,99 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM07,AUTOMOVEL FLEX CREDITO MEDIO AFCM07,"$47500,00","$633,32","$633,32",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,11400,"Crédito: R$47.500,00"," R$ 633,32 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM08,AUTOMOVEL FLEX CREDITO MEDIO AFCM08,"$50000,00","$666,65","$666,65",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,12000,"Crédito: R$50.000,00"," R$ 666,65 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM09,AUTOMOVEL FLEX CREDITO MEDIO AFCM09,"$52500,00","$699,99","$699,99",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,12600,"Crédito: R$52.500,00"," R$ 699,99 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM10,AUTOMOVEL FLEX CREDITO MEDIO AFCM10,"$55000,00","$733,32","$733,32",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,13200,"Crédito: R$55.000,00"," R$ 733,32 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM11,AUTOMOVEL FLEX CREDITO MEDIO AFCM11,"$57500,00","$766,65","$766,65",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,13800,"Crédito: R$57.500,00"," R$ 766,65 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AFCM12,AUTOMOVEL FLEX CREDITO MEDIO AFCM12,"$60000,00","$799,98","$799,98",20%,72,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,995,Em formação ,14400,"Crédito: R$60.000,00"," R$ 799,98 ",Prazo: 72 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
