Codigo,Descricao,Credito,Parcelas de 01 a 12,Demais parcelas,Redutor,Prazo ,Taxa Adm ,Taxa de Adesão ,Fundo de Reserva,Seguro de vida,Reajuste anual ,Sorteio ,Lance fixo ,Lance Embutido ,Lance Livre ,Plano,Status ,Pontos Livero,Credito Texto,Parcelas 01 a 12 Texto,Demais Parcelas Texto,Prazo Texto,CTA,Imagem,Parcelas Todas Texto
IMP01- IMOVEL PLANO PREMIUM XIMP01X,IMOVEL PLANO PREMIUM,"600000,00",3688.80,"2688,00",25%,200,"19,5%",2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1035,Em formação ,129108,"Crédito: R$600.000,00","Parcela de 01 a 12: R$3.688,80","Demais parcelas: R$2.688,00",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$  R$ 3.688,80   / Demais parcelas:  R$ 2.688,00 

"
IMP02- IMOVEL PLANO PREMIUM XIMP02X,IMOVEL PLANO PREMIUM,"650000,00",3996.20,"2912,00",25%,200,"19,5%",2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1035,Em formação ,139867,"Crédito: R$650.000,00","Parcela de 01 a 12: R$3.996,20","Demais parcelas: R$2.912,00",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 3.996,20   / Demais parcelas:   R$ 2.912,00 
 
"
IMP03 - IMOVEL PLANO PREMIUM XIMP03X,IMOVEL PLANO PREMIUM,"700000,00",4303.60,"3136,00",25%,200,"19,5%",2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1035,Em formação ,150626,"Crédito: R$700.000,00","Parcela de 01 a 12: R$4.303,60","Demais parcelas: R$3.136,00",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 4.303,60   / Demais parcelas:   R$ 3.136,00 
 
"
IMP04 - IMOVEL PLANO PREMIUM XIMP04X,IMOVEL PLANO PREMIUM,"750000,00",4611.00,"3360,00",25%,200,"19,5%",2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1035,Em formação ,161385,"Crédito: R$750.000,00","Parcela de 01 a 12: R$4.611,00","Demais parcelas: R$3.360,00",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 4.611,00   / Demais parcelas: R$ 3.360,00 

"
IMP05 - IMOVEL PLANO PREMIUM XIMP05X,IMOVEL PLANO PREMIUM,"800000,00",4918.40,"3584,00",25%,200,"19,5%",2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1035,Em formação ,172144,"Crédito: R$800.000,00","Parcela de 01 a 12: R$4.918,40","Demais parcelas: R$3.584,00",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 4.918,40   / Demais parcelas:  R$ 3.584,00 
 
"
IMP06 - IMOVEL PLANO PREMIUM XIMP06X,IMOVEL PLANO PREMIUM,"850000,00",5225.80,"3808,00",25%,200,"19,5%",2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1035,Em formação ,182903,"Crédito: R$850.000,00","Parcela de 01 a 12: R$5.225,80","Demais parcelas: R$3.808,00",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 5.225,80   / Demais parcelas:   R$ 3.808,00 
 
"
IMP07 - IMOVEL PLANO PREMIUM XIMP07X,IMOVEL PLANO PREMIUM,"900000,00",5533.20,"4032,00",25%,200,"19,5%",2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1035,Em formação ,193662,"Crédito: R$900.000,00","Parcela de 01 a 12: R$5.533,20","Demais parcelas: R$4.032,00",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 5.533,20   / Demais parcelas:   R$ 4.032,00 

"
IMP08 - IMOVEL PLANO PREMIUM XIMP08X,IMOVEL PLANO PREMIUM,"1000000,00",6148.00,"4480,00",25%,200,"19,5%",2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1035,Em formação ,215180,"Crédito: R$1.000.000,00","Parcela de 01 a 12: R$6.148,00","Demais parcelas: R$4.480,00",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:   R$ 6.148,00   / Demais parcelas:   R$ 4.480,00 
 
"
,,,,,,,,,,,,,,,,,,,,,,,,, / 
,,,,,,,,,,,,,,,,,,,,,,,,, / 
